1;1;H;Hogares por material predominante de los pisos de la vivienda por área de gobierno local, fracción y radio censal. 
2;1;H;Hogares habitados según tenencia de baño por departamento, área de gobierno local, fracción y radio censal
3;1;H;Hogares con baño según desagüe de inodoro por departamento, área de gobierno local, fracción y radio censal
4;1;H;Hogares con baño de uso exclusivo por departamento, área de gobierno local, fracción y radio censal. Año 2010.
5;1;H;Hogares habitados con baño según tengan botón, cadena o mochila para limpieza del inodoro por departamento, área de gobierno local, fracción y radio censal
6;1;H;Hogares habitados según procedencia del agua para beber y cocinar por departamento, área de gobierno local, fracción y radio censal
7;1;H;Hogares habitados según combustible para cocinar por departamento, área de gobierno local, fracción y radio censal
9;1;H;Hogares habitados según régimen de tenencia por departamento, área de gobierno local, fracción y radio censal
11;1;H;Hogares habitados según material de la cubierta exterior del techo por departamento, área de gobierno local, fracción y radio censal
12;1;H;Hogares habitados según revestimiento interior o cielorraso del techo por departamento, área de gobierno local, fracción y radio censal
13;1;H;Hogares habitados según tenencia de agua por departamento, área de gobierno local, fracción y radio censal
8;2;H;Hogares habitados según cantidad de personas por cuarto por departamento, área de gobierno local, fracción y radio censal
15;3;H;Hogares habitados según tenga o no celular por departamento, área de gobierno local, fracción y radio censal
16;3;H;Hogares habitados según tenga o no computadora por departamento, área de gobierno local, fracción y radio censal
17;3;H;Hogares habitados según tenga o no heladera por departamento, área de gobierno local, fracción y radio censal
18;3;H;Hogares habitados según tenga o no teléfono de línea por departamento, localidad, fracción y radio censal
10;4;H;Hogares habitados según cumplan algún indicador NBI por departamento, área de gobierno local,  fracción y radio censal
6;5;P;Población de 14 años y más por condición de actividad por departamento, área de gobierno local, fracción y radio censal
5;6;P;Población en hogares según relación de parentesco con el jefe por departamento, localidad, área de gobierno local y radio censal
7;7;P;Población de 10 años y más sepan o no leer y escribir por departamento, área de gobierno local, fracción y radio censal
8;7;P;Población de 5 años y más que asistió según nivel educativo que cursó y si terminó el nivel por departamento, área de gobierno local, fracción y radio censal
9;7;P;Población de 3 años y más según condición de asistencia escolar por departamento, área de gobierno local, fracción y radio censal
10;7;P;Población de 3 años y más que asiste según nivel educativo que cursa o cursó por departamento, área de gobierno local, fracción y radio censal
1;8;P;Población según sexo por departamento, por área de gobierno local, por fracción y radio censal
3;8;P;Población según grandes grupos de edad por departamentos, área de gobierno local, fracción y radio censal
4;8;P;Total de población según grupos quinquenales de edad por departamento, área de gobierno local, fracción y radio censal
2;9;P;Población según nacimiento en el país o en el extranjero por departamento, área de gobierno local, fracción y radio censal
11;3;P;Población de 3 años y más según utiliza o no computadora por departamento, área de gobierno local, fracción y radio censal
2;1;V;Viviendas particulares según tipo de vivienda por departamento, área de gobierno local, fracción y radio censal
4;1;V;Viviendas particulares habitadas según calidad constructiva por departamento, área de gobierno local, fracción y radio censal
5;1;V;Viviendas particulares habitadas según calidad de las conexiones a servicios básicos por departamento, área de gobierno local, fracción y radio censal
6;1;V;Viviendas particulares habitadas según calidad de los materiales por departamento, área de gobierno local, fracción y radio censal
1;10;V;Viviendas según tipo de vivienda agrupada por departamento, área de gobierno local, fracción y radio censal
3;10;V;Viviendas colectivas según tipo de vivienda por departamento, área de gobierno local y fracción censal
7;11;V;Viviendas particulares según condición de ocupación por departamentos, área de gobierno local, fracción y radio censal
